Country name,Life Evaluation Score,Happiness Ranking
Finland,7.736,1
Denmark,7.521,2
Iceland,7.515,3
Sweden,7.345,4
Netherlands,7.306,5
Costa Rica,7.274,6
Norway,7.262,7
Israel,7.234,8
Luxembourg,7.122,9
Mexico,6.979,10
Australia,6.974,11
New Zealand,6.952,12
Switzerland,6.935,13
Belgium,6.910,14
Ireland,6.889,15
Lithuania,6.829,16
Austria,6.810,17
Canada,6.803,18
Slovenia,6.792,19
Czech Republic,6.775,20
United Arab Emirates,6.759,21
Germany,6.753,22
United Kingdom of Great Britain and Northern Ireland,6.728,23
United States of America,6.724,24
Belize,6.711,25
Poland,6.673,26
"Taiwan, Province of China",6.669,27
Uruguay,6.661,28
Kosovo,6.659,29
Kuwait,6.629,30
Serbia,6.606,31
Saudi Arabia,6.600,32
France,6.593,33
Singapore,6.565,34
Romania,6.563,35
Brazil,6.494,36
El Salvador,6.492,37
Spain,6.466,38
Estonia,6.417,39
Italy,6.415,40
Panama,6.407,41
Argentina,6.397,42
Kazakhstan,6.378,43
Guatemala,6.362,44
Chile,6.361,45
Vietnam,6.352,46
Nicaragua,6.330,47
Malta,6.316,48
Thailand,6.222,49
Slovakia,6.221,50
Latvia,6.207,51
Oman,6.197,52
Uzbekistan,6.193,53
Paraguay,6.172,54
Japan,6.147,55
Bosnia and Herzegovina,6.136,56
Philippines,6.107,57
South Korea,6.038,58
Bahrain,6.030,59
Portugal,6.013,60
Colombia,6.004,61
Ecuador,5.965,62
Honduras,5.964,63
Malaysia,5.955,64
Peru,5.947,65
Russian Federation,5.945,66
Cyprus,5.942,67
China,5.921,68
Hungary,5.915,69
Trinidad and Tobago,5.905,70
Montenegro,5.877,71
Croatia,5.870,72
Jamaica,5.870,73
Bolivia,5.868,74
Kyrgyzstan,5.858,75
The Dominican Republic,5.846,76
Mongolia,5.833,77
Mauritius,5.832,78
Libya,5.820,79
Republic of Moldova,5.819,80
Greece,5.776,81
Venezuela,5.683,82
Indonesia,5.617,83
Algeria,5.571,84
Bulgaria,5.554,85
North Macedonia,5.503,86
Armenia,5.494,87
Hong Kong (S.A.R. of China),5.491,88
Albania,5.411,89
Tajikistan,5.411,90
Georgia,5.400,91
Nepal,5.311,92
Lao People's Democratic Republic,5.301,93
Türkiye,5.262,94
South Africa,5.213,95
Mozambique,5.190,96
Gabon,5.120,97
Côte d'Ivoire,5.102,98
Iran,5.093,99
The Republic of the Congo,5.030,100
Iraq,4.976,101
Guinea,4.929,102
Namibia,4.911,103
Cameroon,4.887,104
Nigeria,4.885,105
Azerbaijan,4.875,106
Senegal,4.856,107
State of Palestine,4.780,108
Pakistan,4.768,109
Niger,4.725,110
Ukraine,4.680,111
Morocco,4.622,112
Tunisia,4.552,113
Mauritania,4.542,114
Kenya,4.510,115
Uganda,4.461,116
Gambia,4.423,117
India,4.389,118
Chad,4.384,119
Burkina Faso,4.383,120
Benin,4.357,121
Somalia,4.347,122
Mali,4.345,123
Cambodia,4.341,124
Ghana,4.340,125
Myanmar,4.321,126
Togo,4.315,127
Jordan,4.310,128
Liberia,4.277,129
Madagascar,4.157,130
Zambia,3.912,131
Ethiopia,3.898,132
Sri Lanka,3.891,133
Bangladesh,3.851,134
Egypt,3.817,135
Tanzania,3.800,136
Eswatini,3.774,137
Lesotho,3.757,138
The Comoros ,3.754,139
Yemen,3.561,140
The Democratic Republic of the Congo,3.469,141
Botswana,3.438,142
Zimbabwe,3.396,143
Malawi,3.260,144
Lebanon,3.188,145
Sierra Leone,2.998,146
Afghanistan,1.364,147
